Week,VisTm,HomeTm,Day,Month,Hour,Minute,Winner
1,Colts,Bills,8,8,19,0,Bills
1,Jets,Giants,8,8,19,0,Giants
1,Redskins,Browns,8,8,19,30,Browns
1,Patriots,Lions,8,8,19,30,Patriots
1,Falcons,Dolphins,8,8,19,30,Falcons
1,Titans,Eagles,8,8,19,30,Titans
1,Jaguars,Ravens,8,8,19,30,Jaguars
1,Panthers,Bears,8,8,20,0,Bears
1,Texans,Packers,8,8,20,0,Packers
1,Chargers,Cardinals,8,8,22,0,Cardinals
1,Broncos,Seahawks,8,8,22,0,Seahawks
1,Buccaneers,Steelers,9,8,19,30,Steelers
1,Vikings,Saints,9,8,20,0,Vikings
1,Bengals,Chiefs,10,8,20,0,Bengals
1,Rams,Raiders,10,8,20,0,Rams
1,Cowboys,49ers,10,8,21,0,Cowboys
2,Eagles,Jaguars,15,8,19,0,0
2,Jets,Falcons,15,8,19,30,0
2,Packers,Ravens,15,8,19,30,0
2,Bengals,Redskins,15,8,19,30,0
2,Raiders,Cardinals,15,8,20,0,0
2,Bills,Panthers,16,8,19,0,0
2,Bears,Giants,16,8,19,30,0
2,Dolphins,Buccaneers,16,8,19,30,0
2,Browns,Colts,17,8,16,0,0
2,Patriots,Titans,17,8,19,0,0
2,Cowboys,Rams,17,8,19,0,0
2,Chiefs,Steelers,17,8,19,30,0
2,Lions,Texans,17,8,20,0,0
2,Saints,Chargers,18,8,16,0,0
2,Seahawks,Vikings,18,8,20,0,0
2,49ers,Broncos,19,8,20,0,0
3,Giants,Bengals,22,8,19,0,0
3,Redskins,Falcons,22,8,19,30,0
3,Panthers,Patriots,22,8,19,30,0
3,Ravens,Eagles,22,8,19,30,0
3,Jaguars,Dolphins,22,8,20,0,0
3,Packers,Raiders,22,8,20,0,0
3,Browns,Buccaneers,23,8,19,30,0
3,Bills,Lions,23,8,20,0,0
3,Cardinals,Vikings,24,8,13,0,0
3,Bears,Colts,24,8,19,0,0
3,Texans,Cowboys,24,8,19,0,0
3,Saints,Jets,24,8,19,30,0
3,49ers,Chiefs,24,8,20,0,0
3,Broncos,Rams,24,8,21,0,0
3,Seahawks,Chargers,24,8,22,0,0
3,Steelers,Titans,25,8,20,0,0
4,Vikings,Bills,29,8,19,0,0
4,Steelers,Panthers,29,8,19,0,0
4,Colts,Bengals,29,8,19,0,0
4,Falcons,Jaguars,29,8,19,0,0
4,Eagles,Jets,29,8,19,0,0
4,Lions,Browns,29,8,19,30,0
4,Giants,Patriots,29,8,19,30,0
4,Ravens,Redskins,29,8,19,30,0
4,Titans,Bears,29,8,20,0,0
4,Buccaneers,Cowboys,29,8,20,0,0
4,Chiefs,Packers,29,8,20,0,0
4,Rams,Texans,29,8,20,0,0
4,Dolphins,Saints,29,8,20,0,0
4,Cardinals,Broncos,29,8,21,0,0
4,Raiders,Seahawks,29,8,22,0,0
4,Chargers,49ers,29,8,22,0,0
