Week,VisTm,HomeTm,Day,Month,Hour,Minute,pDay,pMonth,pHour,pMinute,Winner
1,Packers,Bears,5,9,20,20,5,9,20,20,Packers
1,Chiefs,Jaguars,8,9,13,0,8,9,13,0,Chiefs
1,Falcons,Vikings,8,9,13,0,8,9,13,0,Vikings
1,Titans,Browns,8,9,13,0,8,9,13,0,Titans
1,Bills,Jets,8,9,13,0,8,9,13,0,Bills
1,Ravens,Dolphins,8,9,13,0,8,9,13,0,Ravens
1,Redskins,Eagles,8,9,13,0,8,9,13,0,Eagles
1,Rams,Panthers,8,9,13,0,8,9,13,0,Rams
1,Colts,Chargers,8,9,16,5,8,9,13,0,Chargers
1,Bengals,Seahawks,8,9,16,5,8,9,13,0,Seahawks
1,Giants,Cowboys,8,9,16,25,8,9,13,0,Cowboys
1,49ers,Buccaneers,8,9,16,25,8,9,13,0,49ers
1,Lions,Cardinals,8,9,16,25,8,9,13,0,Lions
1,Steelers,Patriots,8,9,20,20,8,9,13,0,Patriots
1,Texans,Saints,9,9,19,10,8,9,13,0,Saints
1,Broncos,Raiders,9,9,22,20,8,9,13,0,Raiders
